Main	Mortgage Investors Corp., the beleaguered home lender run by prominent civic activist Bill Edwards, is laying off about 325 employees at its St. Petersburg headquarters, roughly a third of its workforce.
Distant_Evaluation	''We had to pull in our wings, (but) my plans are to stay in business,'' Edwards said in an interview Wednesday.
Cause_Specific	The company has been hammered with complaints for misleading customers and calling millions of people on the federal Do Not Call list.
Distant_Evaluation	But Edwards, 68, flatly rejected allegations of unsatisfied customers, blaming his woes solely on an industry-wide drop in mortgage refinancings amid higher interest rates.
Distant_Evaluation	It’s the same issue, he said, that has triggered layoffs for top lenders including JPMorgan Chase and Bank of America.
Distant_Evaluation	''My problem is there is no liquidity in the bond markets and without bonds, we can’t provide mortgages,'' he said.
Distant_Evaluation	''You just can’t create mortgage-backed securities.
Distant_Evaluation	.?.?.
Distant_Evaluation	I haven’t seen this in 20 years where there are all sellers and no buyers of bonds, but it is what it is.''
Main	A layoff notice filed with the state Wednesday indicated that about 380 workers at Mortgage Investors headquarters at 6090 Central Ave. would lose their jobs this week.
Main	Edwards said he over-calculated in the filing and the layoff count will be closer to 325, leaving the company with about 600 employees.
Cause_General	Most of the affected employees worked in the call center or as loan processors.
Cause_General	They will continue to receive full pay and benefits for 60 days.
Cause_Specific	The news comes less than a month after the Federal Trade Commission levied a civil penalty of $7.5 million on the home lender, the largest fine ever for a violation of the Do Not Call rule.
Cause_Specific	Mortgage Investors called more than 5.4 million phone numbers on the National Do Not Call Registry to pitch home loan refinancing services to current and former members of the U.S. military, according to the FTC.
Cause_Specific	In initial findings, the FTC said telemarketers led service members to believe they could receive low-interest, fixed-rate mortgages at no cost, ''often quoting rates that they implied would last the duration of their loan.''
Cause_Specific	In reality, regulators said, the company offered only adjustable rate mortgages that left customers liable for higher payments with rising interest rates.
Cause_Specific	It also required customers to pay closing costs.
Distant_Evaluation	On Wednesday, Edwards said the company cooperated with the FTC, but he called the charges unfounded, alleging that the FTC ''wanted to use me as a poster child’' to mark the 10th anniversary of the Do Not Call registry.
Distant_Evaluation	Mortgage Investors disputed in particular any allegations that it has deceived veterans about mortgage terms, he said.
Distant_Evaluation	He also insisted that scores of online complaints about Mortgage Investors are not from ''real’' customers, dismissing them as anonymous online postings.
Distant_Evaluation	''As far as misleading someone on a loan, I’ve never had one complaint,'' he said.
Distant_Evaluation	''I don’t have any real complaints from real customers sitting in my files.''
Cause_General	The Times has talked to several homeowners who complained about deceptive and pressurizing tactics by Mortgage Investors.
Distant_Anecdotal	Among them: Don LaBarge, 73, of Brooksville, who said he agreed to refinance at a 2.5 percent rate with Mortgage Investors after being told the rate would be fixed for years.
Distant_Anecdotal	''Eight months after we were making payments, I got a bill from them,'' he said.
Distant_Anecdotal	''Our house payment was going up $39.
Distant_Anecdotal	One full percent.''
Cause_General	Edwards remained adamant that no complaints made their way to him.
Distant_Evaluation	''I can honestly say to you I’ve had no complaints from anyone who has gotten a loan from Mortgage Investors in almost 20 years.
Distant_Evaluation	That’s all I can tell you,'' he reiterated.
Distant_Evaluation	Asked about specific local cases such as LaBarge’s, he said: ''I haven’t heard from those people, but send them my way.
Distant_Evaluation	I’d certainly be happy to chat with them.''
Cause_General	Founded in 1938, Mortgage Investors has grown into one of the country’s biggest refinancers of veterans’ home loans.
Cause_General	Beyond running the mortgage firm, Edwards also runs a music production company.
Cause_General	He also runs the city-owned Mahaffey Theater and bought downtown St. Petersburg’s BayWalk complex with plans to revitalize it as the renamed Shops at St. Pete.
