0,INDIAN PRISONER IN PAKISTAN DIES AFTER BEATING,"MULTAN, Pakistan – An Indian man on death row in Pakistan for espionage has died after being attacked by fellow inmates, Pakistan’s state television said early Thursday."
0,INDIAN PRISONER IN PAKISTAN DIES AFTER BEATING,"Sarabjit Singh, 51, died in a hospital in the eastern city of Lahore, where he had been in a coma for at least five days."
5,INDIAN PRISONER IN PAKISTAN DIES AFTER BEATING,Singh was convicted of espionage in relation to bombings in two Pakistani cities in 1990.
1,INDIAN PRISONER IN PAKISTAN DIES AFTER BEATING,His fate has been a source of tension between Pakistan and India since he was attacked Friday.
1,INDIAN PRISONER IN PAKISTAN DIES AFTER BEATING,"In a statement, the Indian prime minister, Manmohan Singh, said he was “deeply saddened” by Sarabjit Singh’s death, describing him as a “brave son of India.”"
1,INDIAN PRISONER IN PAKISTAN DIES AFTER BEATING,"Singh, the prime minister, criticized the Pakistani government’s refusal to repatriate the injured prisoner to India for emergency treatment."
2,INDIAN PRISONER IN PAKISTAN DIES AFTER BEATING,"According to the Pakistani police, Sarabjit Singh was assaulted by two prisoners as he left his cell at Kot Lakhpat jail, outside Lahore, to exercise last Friday."
2,INDIAN PRISONER IN PAKISTAN DIES AFTER BEATING,He suffered severe head injuries and was later taken to the city’s Jinnah hospital in critical condition.
4,INDIAN PRISONER IN PAKISTAN DIES AFTER BEATING,"Singh’s Pakistani lawyer said that his client had previously spoken of threats from inmates following the hanging of Afzal Guru, an accused Kashmiri militant, by the Indian authorities in February."
5,INDIAN PRISONER IN PAKISTAN DIES AFTER BEATING,Singh was convicted of spying and for his involvement in a series of bomb blasts that killed 14 people in the Punjabi cities of Faisalabad and Lahore in 1990.
5,INDIAN PRISONER IN PAKISTAN DIES AFTER BEATING,"In 2006, Singh’s sister appealed to Pervez Musharraf, who was then Pakistan’s president, to grant him clemency and repatriate him to India."
5,INDIAN PRISONER IN PAKISTAN DIES AFTER BEATING,That petition was dismissed by Musharraf and the Pakistani courts.
5,INDIAN PRISONER IN PAKISTAN DIES AFTER BEATING,"Singh then wrote to President Asif Ali Zardari in July 2009, requesting a pardon on humanitarian grounds."
6,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88",Alan Cowell contributed reporting from London.
0,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","Jacques Vergès, the French lawyer who embraced anti-colonial causes and the role of devil’s advocate on a world stage to defend war criminals, terrorists, dictators and other notorious villains of the 20th century, died Thursday in Paris."
3,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88",He was 88.
2,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","The cause was a heart attack at around 8 p.m. as he was preparing to dine with friends, according to his publisher, Éditions Pierre-Guillaume de Roux."
0,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","He died in the Parisian house where the Enlightenment philosopher Voltaire once lived, the publisher said in a statement."
1,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","“The ideal place for the last theatrical act that was the death of this born actor who, like Voltaire, cultivated the art of permanent revolt and volte-face,” the statement said, reflecting the lawyer’s reputation for asking disturbing questions on behalf of notorious clients."
1,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88",Is a killer a terrorist or a patriot?
1,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88",Can laws be used to judge good and evil?
3,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","For more than 50 years, Vergès raised such questions in defense of clients who claimed to be acting for political causes, although they were charged with genocide, crimes against humanity, bombings, hijackings and the murder of innocents."
3,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","They included the Nazi war criminal Klaus Barbie; the terrorist Ilich Ramírez Sánchez, aka Carlos the Jackal; and Cambodia’s Khmer Rouge head of state, Khieu Samphan."
3,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","Vergès also sought to defend former presidents Saddam Hussein of Iraq, who was executed for crimes against humanity, and Slobodan Milosevic of Serbia, who represented himself in a war-crimes trial but died before a verdict."
1,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","Like many of his clients, Vergès, the son of a Vietnamese woman and a French diplomat, was an enigma."
3,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88",Assassins targeted him.
3,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","There were hints of ties to secret services, to terrorists he defended and to Mao Zedong, Che Guevara and other revolutionaries."
3,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","He was a confidant of Pol Pot, the tyrant blamed for the deaths of at least 1.7 million Cambodians."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","He married a terrorist he saved from the guillotine, but left her and his two children and disappeared for eight years."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","“He’s a slippery man,” director Barbet Schroeder, who made “Terror’s Advocate,” a 2007 documentary on Vergès and terrorism as a political weapon, told The New York Times in 2007."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88",“You can never touch him.
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88",He loves the mystery.
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88",The reason is that there are certain things he cannot talk about.
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88",He would be in deep trouble if the truth came out.”
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","In a career that paralleled the postwar disintegration of colonial empires in Asia, Africa and the Middle East, Vergès rose to prominence in the late 1950s defending Algerians accused of terrorist bombings."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","Instead of contesting the evidence of French prosecutors in court, he insisted that the defendants were resistance fighters in a just war of liberation and challenged the legal and moral legitimacy of the trials."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","While most of his clients were convicted, the trials drew international attention to Vergès, and long after Algerian independence in 1962 his tactics served as a blueprint for his cases, which became public platforms to indict France and other Western nations for what he called crimes of racist colonialism and the exploitation of Third World peoples."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","In the late 1960s, Vergès broadened his horizons, defending Palestinians charged with attacks on El Al aircraft in Athens and Zurich."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","He later represented members of the Red Army Faction in Germany, whose bombings he called the work of “soldiers in a noble cause.”"
1,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","Vergès’ most famous case was his defense of Klaus Barbie, the wartime Gestapo leader known as “the Butcher of Lyons” for his role in the torture, execution and deportation to death camps of thousands of French citizens."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","After years in hiding, during which he is believed to have assisted Western intelligence services, Barbie was extradited from Bolivia to France in 1983."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","At his war-crimes trial in 1987, Barbie walked out, refusing to hear testimony of his horrors."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","Vergès virtually ignored the charges, and attacked Israel, France and other nations for committing “crimes against humanity” that he called “more serious” than those ascribed to Barbie."
1,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88",Critics said he trivialized genocide to defend a monster.
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","Barbie was convicted and sentenced to life in prison, where he died in 1991."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","“I practice the 'defense de la rupture,'” Vergès told The New York Times during his work on the Barbie case, meaning a tactic of confrontation with the judicial system rather than one that works within it."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88",“My law is to be against all laws.
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88",My morality is to be against all morality.”
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","Jacques Vergès and his twin brother, Paul, were born March 5, 1925, in Ubon Ratchathani, Siam, now Thailand."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","Their Vietnamese mother died when they were 3 and their father, Raymond Vergès, a French diplomat, raised them on the Indian Ocean island of Réunion."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88",Paul became a founder of the Réunion Communist Party and a member of the European Parliament.
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","In 1942, with his father’s encouragement, Jacques sailed to England, joined Charles de Gaulle’s Free French Forces and fought in the Resistance."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","After the war, he studied law at the University of Paris, joined the Communist Party and in 1949 became a leader of an anti-colonial student movement."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","His student friends included Khieu Samphan and Saloth Sar, the future Pol Pot."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88",In the early 1950s Vergès led a Communist youth organization in Prague.
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","Returning to Paris, he became a lawyer in 1955 and gained fame defending Algerian guerrilla fighters."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","In a notorious case, Djamila Bouhired was convicted in 1957 of killing 11 people in an Algiers bombing and sentenced to death."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","As she awaited the guillotine, it was revealed that she had been tortured during questioning."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88",Vergès campaigned for a reprieve.
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","Many world leaders, including the Soviet leader, Nikita Khrushchev, demanded her release."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","Her execution was postponed, and in 1962 she was released."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","In 1965, Vergès and Bouhired were married."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","They had two children, Meriem and Liess."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","The couple founded a popular magazine, Révolution, in 1968."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","In 1970, Vergès disappeared."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","His whereabouts remained a mystery, although he was rumored to be in Cambodia with Pol Pot and in the Middle East with Palestinian groups."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88",He reappeared in Paris in 1978 and resumed his law practice.
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","His ties to Carlos the Jackal were murky but probably dated to 1982, when he defended Magdalena Kopp, the terrorist’s girlfriend and accomplice (and later his wife), who was caught with explosives in Paris."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","Wanted for many terrorist acts in the name of Palestinian liberation in the 1970s and '80s, Carlos was captured by French agents in Sudan in 1994 and flown to Paris."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","Vergès called it a kidnapping and represented Carlos in the early stages of his case, but they had a falling out over tactics."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","The Venezuelan-born terrorist hired other lawyers, was convicted in 1997 and sentenced to life in prison."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88",The verdict and sentence were affirmed in another trial years later.
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","After Saddam Hussein was captured in 2003, Vergès, who had been hired to defend other ousted Iraqi leaders, offered to represent him."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","The family of the deposed Iraqi leader chose another lawyer, and Saddam was executed in 2006."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","Vergès also offered to defend Milosevic, but he chose to represent himself in a trial that began in The Hague in 2002."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88",Milosevic died in 2006 before the case could be concluded.
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","In 2008, as Khieu Samphan made his first appearance before Cambodia’s genocide tribunal, Vergès, representing his old friend, created a tumultuous scene and stormed out after erupting at a panel of judges because documents for the pretrial hearing had not been translated into French."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","He argued that his client had held no real power as Cambodians had died of starvation, disease, forced labor and massacres during the brutal Khmer Rouge drive to create a classless society."
5,"JACQUES VERG È S, DEFENDER OF WAR CRIMINALS AND TERRORISTS, DIES AT 88","He insisted that the power - and responsibility for the Cambodian tragedy - belonged to Pol Pot, who died in 1998."
6,ISRAELI HOUSING PLAN ADDS TO TENSIONS AHEAD OF TALKS,This article is part of TIMES EXPRESS.
6,ISRAELI HOUSING PLAN ADDS TO TENSIONS AHEAD OF TALKS,It is a condensed version of a story that will appear in tomorrow’s New York Times.
6,ISRAELI HOUSING PLAN ADDS TO TENSIONS AHEAD OF TALKS,);
0,ISRAELI HOUSING PLAN ADDS TO TENSIONS AHEAD OF TALKS,"JERUSALEM - Israel published bids Sunday for the construction of more than 1,000 housing units in contested areas of East Jerusalem and several large West Bank settlements, intensifying the already charged atmosphere three days before the resumption of Israeli-Palestinian peace talks here and hours before Israel was to announce the names of Palestinian prisoners to be released this week."
1,ISRAELI HOUSING PLAN ADDS TO TENSIONS AHEAD OF TALKS,"While the planning and building of settlements have continued in the months preceding the talks, causing constant friction, Prime Minister Benjamin Netanyahu’s new governing coalition had so far refrained from issuing construction bids since it was formed in March."
3,ISRAELI HOUSING PLAN ADDS TO TENSIONS AHEAD OF TALKS,The publishing of bids is the final bureaucratic stage before new construction can begin.
3,ISRAELI HOUSING PLAN ADDS TO TENSIONS AHEAD OF TALKS,"Uri Ariel, the housing minister, announced the contentious move while Netanyahu was recovering in a hospital after overnight surgery for a hernia."
1,ISRAELI HOUSING PLAN ADDS TO TENSIONS AHEAD OF TALKS,"“The government of Israel is working to bring down the cost of living in all parts of the country,” Ariel, a member of the pro-settlement Jewish Home Party, said in a statement."
1,ISRAELI HOUSING PLAN ADDS TO TENSIONS AHEAD OF TALKS,"“No country in the world accepts dictates from other countries about where it is allowed to build and where not,” he continued, responding to the international condemnation of Israel’s continuing efforts to build up the settlements."
3,ISRAELI HOUSING PLAN ADDS TO TENSIONS AHEAD OF TALKS,The prime minister’s office offered no immediate comment.
1,ISRAELI HOUSING PLAN ADDS TO TENSIONS AHEAD OF TALKS,The settlement move appeared intended to appease the right-wing members of the Israeli government ahead of the expected release this week of 26 Palestinian prisoners who have served 20 years or more in prison for deadly attacks against Israelis.
3,ISRAELI HOUSING PLAN ADDS TO TENSIONS AHEAD OF TALKS,"Later on Sunday, a ministerial committee was expected to complete the list of those to be released on Tuesday."
1,ISRAELI HOUSING PLAN ADDS TO TENSIONS AHEAD OF TALKS,The decision to release 104 prisoners over the coming months is deeply unpopular in Israel.
1,ISRAELI HOUSING PLAN ADDS TO TENSIONS AHEAD OF TALKS,Netanyahu has explained it as a gesture that was necessary to persuade the Palestinian leadership to agree to resume long-stalled negotiations and that was preferable to acceding to other Palestinian demands like a settlement freeze.
8,ISRAELI HOUSING PLAN ADDS TO TENSIONS AHEAD OF TALKS,But it appears that the talks Wednesday will be taking place amid a storm of mutual recrimination.
1,ISRAELI HOUSING PLAN ADDS TO TENSIONS AHEAD OF TALKS,"Muhammad Shtayyeh, a senior Palestinian negotiator, issued a statement Sunday saying, “It is clear that the Israeli government is deliberately attempting to sabotage U.S. and international efforts to resume negotiations.” Israel, he continued, “continues to use peace negotiations as a smoke screen for more settlement construction.”"
6,Bank's tight grip on cash is ill-advised,"by John Romano,"
6,Bank's tight grip on cash is ill-advised,Times Columnist
1,Bank's tight grip on cash is ill-advised,"A strict diet, designed for medical purposes, is just part of the deal."
1,Bank's tight grip on cash is ill-advised,That includes hiding the salt shaker and steering clear of alcohol.
1,Bank's tight grip on cash is ill-advised,"Smoking is out of the question, and frequenting the gym whenever your body is agreeable would also qualify as part of the routine."
1,Bank's tight grip on cash is ill-advised,"When you are waiting on a kidney transplant to prolong your life, you accept certain hassles along the way."
1,Bank's tight grip on cash is ill-advised,Ronald Yaffe expected all of that.
1,Bank's tight grip on cash is ill-advised,Here’s what he did not expect:
0,Bank's tight grip on cash is ill-advised,"A yearlong battle with Wells Fargo concerning $10,000 in cashier’s checks from the 1980s that the bank says it is not obligated to pay."
1,Bank's tight grip on cash is ill-advised,''I’m mad.
